feautre,importance
shift_model_adcode_mt_label_1,753
shift_model_adcode_mt_label_12,694
model,668
regMonth,609
shift_model_adcode_mt_label_2,476
adcode,452
shift_model_adcode_mt_label_11,397
shift_model_adcode_mt_label_3,343
shift_model_adcode_mt_label_10,333
shift_model_adcode_mt_label_4,277
shift_model_adcode_mt_label_9,258
shift_model_adcode_mt_label_6,257
shift_model_adcode_mt_label_8,248
shift_model_adcode_mt_label_5,231
shift_model_adcode_mt_label_7,230
shift_model_adcode_mt_price_1,174
shift_model_adcode_mt_price_11,163
shift_model_adcode_mt_price_5,135
shift_model_adcode_mt_price_2,131
shift_model_adcode_mt_price_10,126
shift_model_adcode_mt_price_7,123
shift_model_adcode_mt_all_province_body_attention_1,121
shift_model_adcode_mt_price_9,115
shift_model_adcode_mt_price_8,114
shift_model_adcode_mt_body_except_1,113
shift_model_adcode_mt_all_province_body_attention_11,111
shift_model_adcode_mt_price_12,110
shift_model_adcode_mt_price_3,110
shift_model_adcode_mt_price_4,104
shift_model_adcode_mt_all_province_body_attention_5,103
shift_model_adcode_mt_all_province_body_attention_2,99
shift_model_adcode_mt_all_province_body_attention_7,96
shift_model_adcode_mt_all_province_body_attention_10,96
shift_model_adcode_mt_all_province_body_attention_12,92
shift_model_adcode_mt_body_except_11,91
shift_model_adcode_mt_body_except_7,86
shift_model_adcode_mt_price_6,85
shift_model_adcode_mt_all_province_body_attention_8,83
shift_model_adcode_mt_all_province_body_attention_6,83
shift_model_adcode_mt_all_province_body_attention_9,78
shift_model_adcode_mt_body_except_2,75
shift_model_adcode_mt_all_province_body_attention_3,72
shift_model_adcode_mt_body_except_8,69
shift_model_adcode_mt_body_except_10,69
shift_model_adcode_mt_body_except_5,69
shift_model_adcode_mt_body_except_3,65
shift_model_adcode_mt_all_province_body_attention_4,64
bodyType,62
shift_model_adcode_mt_body_except_12,59
shift_model_adcode_mt_body_except_9,53
shift_model_adcode_mt_body_except_4,42
shift_model_adcode_mt_body_except_6,33
regYear,20
