id,ad_ry_mean
1,291
2,374
3,194
4,342
5,464
6,235
7,549
8,258
9,2585
10,412
11,808
12,201
13,373
14,422
15,688
16,489
17,373
18,320
19,620
20,127
21,367
22,253
23,320
24,382
25,222
26,308
27,735
28,387
29,1090
30,344
31,6152
32,938
33,1635
34,493
35,782
36,817
37,1390
38,822
39,732
40,1150
41,1128
42,258
43,386
44,576
45,158
46,366
47,273
48,391
49,475
50,199
51,498
52,190
53,1649
54,234
55,546
56,195
57,425
58,457
59,504
60,345
61,330
62,162
63,403
64,193
65,332
66,212
67,107
68,225
69,115
70,87
71,433
72,226
73,377
74,129
75,3213
76,336
77,817
78,283
79,338
80,541
81,867
82,513
83,550
84,450
85,294
86,135
87,213
88,129
89,155
90,3262
91,502
92,67
93,1407
94,1748
95,3070
96,1536
97,1465
98,1839
99,1591
100,779
101,3147
102,3726
103,1055
104,1473
105,1580
106,432
107,943
108,240
109,887
110,470
111,275
112,452
113,463
114,95
115,744
116,944
117,1100
118,499
119,3973
120,688
121,964
122,782
123,1309
124,1457
125,771
126,1011
127,1089
128,318
129,329
130,493
131,489
132,399
133,1088
134,157
135,176
136,1136
137,477
138,421
139,1199
140,323
141,1082
142,139
143,1208
144,202
145,866
146,1032
147,906
148,310
149,285
150,270
151,317
152,142
153,439
154,220
155,183
156,67
157,36
158,53
159,259
160,272
161,208
162,41
163,268
164,87
165,602
166,153
167,141
168,218
169,330
170,216
171,176
172,94
173,36
174,61
175,103
176,22
177,748
178,394
179,331
180,438
181,586
182,975
183,1143
184,370
185,487
186,370
187,1383
188,1015
189,696
190,1124
191,894
192,1201
193,1132
194,510
195,314
196,358
197,389
198,162
199,474
200,286
201,300
202,102
203,1248
204,1344
205,2160
206,407
207,619
208,561
209,1900
210,1152
211,1129
212,1839
213,1410
214,1036
215,1090
216,642
217,231
218,356
219,506
220,141
221,74
222,213
223,180
224,195
225,1130
226,567
227,1532
228,336
229,1114
230,379
231,889
232,444
233,1018
234,1931
235,1136
236,898
237,614
238,419
239,130
240,275
241,630
242,83
243,60
244,473
245,345
246,80
247,909
248,617
249,1246
250,840
251,894
252,506
253,574
254,475
255,1451
256,1537
257,545
258,614
259,718
260,314
261,294
262,362
263,922
264,225
265,76
266,666
267,465
268,69
269,1395
270,907
271,1704
272,647
273,862
274,516
275,940
276,637
277,1557
278,1761
279,642
280,864
281,697
282,294
283,240
284,343
285,638
286,441
287,265
288,984
289,767
290,181
291,2051
292,1703
293,3246
294,769
295,1586
296,733
297,2017
298,1131
299,2159
300,3773
301,1350
302,1641
303,1759
304,624
305,747
306,743
307,797
308,591
309,603
310,432
311,470
312,714
313,803
314,828
315,1292
316,623
317,430
318,186
319,1488
320,374
321,1325
322,1112
323,656
324,394
325,505
326,239
327,169
328,423
329,585
330,86
331,59
332,888
333,697
334,165
335,1907
336,324
337,2169
338,786
339,1377
340,428
341,567
342,326
343,2268
344,1464
345,437
346,420
347,1128
348,372
349,682
350,196
351,541
352,1102
353,1086
354,898
355,462
356,274
357,1177
358,1665
359,2346
360,980
361,643
362,484
363,2599
364,1123
365,2367
366,1941
367,1253
368,994
369,1341
370,705
371,361
372,719
373,816
374,269
375,220
376,526
377,536
378,83
379,1128
380,731
381,2199
382,1042
383,488
384,233
385,912
386,406
387,1909
388,1378
389,462
390,245
391,428
392,273
393,456
394,287
395,653
396,519
397,262
398,421
399,496
400,822
401,1239
402,721
403,1641
404,420
405,935
406,251
407,1185
408,358
409,1483
410,1575
411,740
412,659
413,501
414,581
415,654
416,403
417,554
418,800
419,380
420,311
421,120
422,165
423,362
424,517
425,690
426,92
427,579
428,142
429,717
430,346
431,398
432,437
433,902
434,438
435,492
436,252
437,149
438,197
439,199
440,127
441,358
442,401
443,434
444,268
445,1741
446,1018
447,1722
448,471
449,702
450,275
451,1645
452,476
453,2314
454,2269
455,1288
456,748
457,621
458,447
459,503
460,347
461,486
462,461
463,365
464,177
465,175
466,352
467,558
468,425
469,1136
470,156
471,452
472,118
473,1261
474,222
475,941
476,796
477,955
478,305
479,245
480,197
481,165
482,92
483,246
484,155
485,32
486,48
487,65
488,31
489,174
490,300
491,550
492,197
493,94
494,66
495,184
496,71
497,445
498,317
499,63
500,170
501,157
502,48
503,109
504,80
505,103
506,81
507,649
508,182
509,115
510,634
511,573
512,340
513,527
514,136
515,1031
516,161
517,1530
518,233
519,403
520,319
521,1301
522,382
523,323
524,464
525,223
526,227
527,229
528,92
529,227
530,177
531,95
532,216
533,412
534,203
535,312
536,93
537,488
538,111
539,774
540,146
541,220
542,210
543,598
544,272
545,225
546,231
547,102
548,136
549,134
550,58
551,677
552,347
553,143
554,840
555,751
556,383
557,666
558,177
559,1141
560,183
561,1335
562,246
563,386
564,452
565,1167
566,582
567,432
568,422
569,271
570,264
571,302
572,107
573,133
574,48
575,24
576,94
577,146
578,72
579,167
580,28
581,163
582,37
583,307
584,39
585,94
586,85
587,286
588,74
589,64
590,48
591,41
592,33
593,59
594,20
595,735
596,312
597,213
598,462
599,931
600,600
601,845
602,198
603,998
604,180
605,1404
606,381
607,626
608,595
609,1414
610,605
