id,bt_ry_mean
1,289
2,375
3,207
4,335
5,434
6,232
7,518
8,281
9,2471
10,408
11,801
12,215
13,367
14,398
15,709
16,488
17,352
18,333
19,615
20,134
21,354
22,268
23,354
24,394
25,242
26,316
27,759
28,417
29,1131
30,372
31,6559
32,918
33,1676
34,524
35,784
36,864
37,1456
38,873
39,751
40,1213
41,1201
42,277
43,419
44,614
45,174
46,346
47,267
48,417
49,561
50,192
51,495
52,190
53,1776
54,238
55,537
56,196
57,428
58,465
59,488
60,358
61,347
62,155
63,409
64,211
65,334
66,214
67,108
68,239
69,113
70,88
71,429
72,218
73,351
74,120
75,3005
76,314
77,794
78,308
79,327
80,488
81,875
82,515
83,567
84,456
85,263
86,134
87,202
88,127
89,186
90,3256
91,517
92,77
93,1536
94,1849
95,3204
96,1536
97,1566
98,1872
99,1679
100,865
101,3184
102,3820
103,1054
104,1554
105,1674
106,461
107,955
108,254
109,944
110,464
111,282
112,440
113,460
114,101
115,755
116,857
117,1192
118,499
119,3594
120,665
121,1021
122,744
123,1412
124,1460
125,751
126,919
127,1019
128,321
129,316
130,530
131,509
132,384
133,1168
134,153
135,177
136,1248
137,538
138,434
139,1241
140,334
141,1103
142,133
143,1316
144,199
145,969
146,1079
147,931
148,324
149,297
150,270
151,321
152,136
153,466
154,237
155,197
156,72
157,33
158,64
159,239
160,265
161,214
162,37
163,247
164,89
165,540
166,157
167,136
168,203
169,315
170,215
171,182
172,100
173,36
174,62
175,111
176,20
177,783
178,403
179,342
180,429
181,600
182,974
183,1110
184,377
185,506
186,375
187,1432
188,987
189,706
190,1161
191,975
192,1225
193,1214
194,525
195,294
196,375
197,382
198,162
199,534
200,282
201,301
202,92
203,1332
204,1430
205,2233
206,423
207,637
208,573
209,1837
210,1161
211,1074
212,1949
213,1387
214,1069
215,1128
216,638
217,251
218,373
219,534
220,124
221,91
222,239
223,177
224,192
225,1212
226,590
227,1498
228,361
229,1088
230,386
231,848
232,476
233,1007
234,1963
235,1185
236,974
237,686
238,466
239,136
240,312
241,642
242,80
243,75
244,499
245,377
246,93
247,918
248,616
249,1319
250,867
251,909
252,546
253,615
254,569
255,1452
256,1561
257,590
258,652
259,759
260,356
261,300
262,346
263,901
264,220
265,92
266,758
267,512
268,72
269,1613
270,983
271,1876
272,667
273,926
274,572
275,1059
276,697
277,1753
278,1914
279,757
280,933
281,809
282,389
283,291
284,386
285,703
286,480
287,297
288,1035
289,822
290,190
291,2109
292,1807
293,3217
294,798
295,1558
296,743
297,2014
298,1119
299,2156
300,3812
301,1339
302,1704
303,1854
304,637
305,754
306,773
307,847
308,602
309,651
310,443
311,513
312,743
313,815
314,943
315,1271
316,744
317,423
318,223
319,1451
320,412
321,1389
322,1049
323,743
324,427
325,585
326,288
327,221
328,442
329,633
330,104
331,58
332,936
333,697
334,151
335,1980
336,332
337,2194
338,771
339,1359
340,441
341,588
342,329
343,2313
344,1495
345,463
346,422
347,1141
348,392
349,707
350,183
351,577
352,1038
353,1101
354,876
355,492
356,284
357,1358
358,1719
359,2272
360,921
361,674
362,485
363,2537
364,1181
365,2274
366,2215
367,1209
368,1003
369,1329
370,650
371,365
372,739
373,886
374,265
375,270
376,532
377,549
378,75
379,1332
380,795
381,2348
382,1008
383,508
384,251
385,1004
386,448
387,2074
388,1543
389,466
390,279
391,503
392,295
393,455
394,283
395,654
396,474
397,257
398,386
399,455
400,771
401,1214
402,687
403,1445
404,414
405,944
406,232
407,1102
408,350
409,1318
410,1523
411,717
412,674
413,511
414,523
415,625
416,367
417,520
418,694
419,419
420,321
421,117
422,167
423,356
424,538
425,721
426,97
427,568
428,158
429,744
430,377
431,425
432,422
433,956
434,442
435,525
436,293
437,162
438,194
439,202
440,133
441,368
442,422
443,459
444,287
445,1786
446,1063
447,1742
448,449
449,722
450,308
451,1600
452,506
453,2213
454,2358
455,1335
456,774
457,682
458,449
459,499
460,395
461,495
462,436
463,361
464,174
465,158
466,332
467,534
468,374
469,951
470,148
471,416
472,115
473,1157
474,208
475,772
476,714
477,938
478,285
479,249
480,205
481,153
482,76
483,229
484,138
485,32
486,46
487,66
488,34
489,172
490,314
491,545
492,189
493,107
494,67
495,184
496,71
497,432
498,299
499,59
500,187
501,183
502,48
503,124
504,76
505,117
506,79
507,706
508,200
509,121
510,632
511,590
512,365
513,530
514,138
515,1117
516,168
517,1475
518,248
519,425
520,321
521,1301
522,386
523,344
524,464
525,245
526,220
527,245
528,96
529,256
530,176
