id,ad_ry_mean,md_ry_mean,bt_ry_mean
1,266,268,269
2,345,335,276
3,173,182,175
4,356,345,280
5,416,441,424
6,203,210,226
7,519,510,518
8,252,231,238
9,1881,1665,1773
10,383,390,313
11,726,769,708
12,189,188,186
13,344,348,364
14,382,366,359
15,656,661,614
16,428,422,388
17,325,332,326
18,284,315,282
19,585,604,565
20,123,121,143
21,338,333,298
22,253,241,234
23,351,355,434
24,355,391,405
25,229,236,275
26,330,342,331
27,758,790,894
28,388,419,442
29,1129,1221,1328
30,350,340,418
31,4685,4535,4134
32,918,982,922
33,1668,1840,1841
34,531,545,538
35,807,784,1054
36,847,870,1012
37,1542,1623,1543
38,812,873,816
39,712,761,736
40,1262,1287,1132
41,1185,1259,1228
42,254,272,267
43,420,420,460
44,621,628,691
45,166,173,167
46,346,325,290
47,270,243,228
48,433,406,349
49,519,483,414
50,188,182,193
51,511,459,475
52,191,172,161
53,1756,1726,1304
54,229,215,194
55,549,503,504
56,183,176,181
57,425,418,386
58,453,433,397
59,483,474,480
60,349,349,296
61,329,334,309
62,152,146,147
63,424,403,386
64,206,200,164
65,309,308,279
66,210,199,187
67,95,102,176
68,199,204,268
69,98,109,156
70,93,91,149
71,409,401,515
72,209,205,277
73,329,339,525
74,125,129,181
75,2879,2762,2637
76,314,320,340
77,795,801,920
78,282,311,340
79,311,302,490
80,500,498,600
81,902,861,1032
82,435,479,479
83,498,517,543
84,433,473,559
85,230,256,440
86,124,122,150
87,194,195,262
88,120,133,192
89,163,168,199
90,2233,2542,1569
91,450,467,451
92,84,72,128
93,1091,1173,951
94,1509,1582,1103
95,2154,2499,1769
96,1309,1354,1067
97,1244,1251,1261
98,1572,1535,1201
99,1488,1555,1275
100,719,712,620
101,2434,2583,1769
102,2508,2820,1769
103,968,1016,989
104,1339,1373,901
105,1427,1515,1076
106,379,375,400
107,865,907,871
108,224,241,235
109,772,818,839
110,429,459,483
111,277,259,336
112,439,439,437
113,489,440,487
114,100,90,165
115,728,759,869
116,888,917,870
117,963,1081,1431
118,470,472,519
119,2963,3028,2961
120,622,608,590
121,952,949,1254
122,673,718,671
123,1237,1172,1492
124,1271,1391,1759
125,722,703,980
126,917,995,871
127,1032,1079,1006
128,292,304,373
129,294,291,366
130,499,471,441
131,474,457,473
132,391,365,443
133,1245,1219,836
134,147,170,170
135,167,186,198
136,1266,1191,864
137,455,534,468
138,389,435,399
139,1306,1309,1047
140,355,392,324
141,1155,1147,1014
142,132,147,151
143,1230,1255,1098
144,209,238,219
145,1014,999,852
146,1095,1102,837
147,989,985,967
148,337,346,326
149,293,328,318
150,287,282,288
151,313,341,366
152,132,155,164
153,435,426,401
154,232,275,248
155,165,156,194
156,58,55,86
157,27,29,46
158,55,59,63
159,224,218,253
160,229,242,255
161,188,185,225
162,32,32,51
163,218,203,321
164,72,76,88
165,524,492,443
166,118,121,134
167,118,104,165
168,183,171,210
169,291,262,335
170,177,169,185
171,149,158,182
172,73,76,110
173,27,34,58
174,50,52,69
175,98,94,111
176,18,18,38
177,709,759,642
178,321,374,336
179,315,317,327
180,429,429,364
181,562,585,832
182,876,927,782
183,1094,1081,1088
184,347,360,383
185,522,467,775
186,303,328,318
187,1324,1337,1126
188,905,963,776
189,638,688,717
190,1053,1089,1015
191,917,909,919
192,1049,1119,990
193,1054,1115,1001
194,444,470,405
195,276,292,356
196,343,332,326
197,338,350,371
198,158,176,203
199,535,544,714
200,291,310,404
201,302,300,412
202,85,86,141
203,1334,1409,1310
204,1412,1411,1238
205,1445,1719,2203
206,390,416,571
207,671,593,1652
208,556,579,589
209,2027,2024,2224
210,1011,1110,1118
211,1135,1069,1425
212,1758,1922,1843
213,1412,1523,1617
214,1052,1034,1064
215,1143,1129,1195
216,652,676,776
217,226,230,534
218,366,379,407
219,445,484,670
220,141,144,261
221,73,86,155
222,198,227,271
223,159,167,208
224,189,231,352
225,1158,1154,906
226,580,567,573
227,1643,1626,1240
228,310,367,383
229,1089,1084,1087
230,357,402,445
231,809,855,902
232,400,545,492
233,998,1003,944
234,1879,1909,1298
235,1118,1206,1238
236,787,926,776
237,556,621,737
238,329,445,522
239,100,130,206
240,272,307,349
241,564,642,682
242,84,85,162
243,55,69,74
244,413,464,355
245,310,330,285
246,63,90,96
247,906,861,669
248,603,582,428
249,1178,1143,864
250,769,766,586
251,861,873,728
252,463,506,382
253,598,595,518
254,449,488,393
255,1404,1282,943
256,1429,1364,936
257,598,574,586
258,650,608,444
259,750,729,540
260,293,327,317
261,231,291,282
262,354,359,300
263,823,864,574
264,203,229,233
265,91,80,122
266,621,671,497
267,480,464,388
268,72,59,105
269,1447,1384,1100
270,871,961,749
271,1749,1684,1335
272,614,607,551
273,801,752,849
274,506,523,393
275,1039,993,991
276,609,678,486
277,1667,1556,1236
278,1753,1633,1236
279,751,727,844
280,814,836,673
281,741,754,607
282,336,342,338
283,264,264,307
284,398,351,285
